time,open,high,low,close,tick_volume,spread,real_volume
2024-12-30 00:00:00,1.04251,1.04319,1.04246,1.0429599999999999,357,4,0
2024-12-30 01:00:00,1.04303,1.04349,1.04273,1.04293,683,3,0
2024-12-30 02:00:00,1.04293,1.04312,1.04257,1.04274,754,1,0
2024-12-30 03:00:00,1.04274,1.04308,1.04251,1.04253,690,0,0
2024-12-30 04:00:00,1.04253,1.04274,1.0424,1.04256,587,0,0
2024-12-30 05:00:00,1.04256,1.04256,1.04209,1.04245,651,0,0
2024-12-30 06:00:00,1.04244,1.0426,1.04242,1.0425200000000001,502,0,0
2024-12-30 07:00:00,1.0425200000000001,1.04266,1.04228,1.0425,651,0,0
2024-12-30 08:00:00,1.04251,1.04314,1.04251,1.04287,831,0,0
2024-12-30 09:00:00,1.04285,1.04293,1.04209,1.04268,1431,4,0
2024-12-30 10:00:00,1.04259,1.0429599999999999,1.04092,1.04126,1853,3,0
2024-12-30 11:00:00,1.04125,1.0439,1.04108,1.04339,1841,3,0
2024-12-30 12:00:00,1.04338,1.0444,1.04327,1.04381,1889,3,0
2024-12-30 13:00:00,1.0438,1.04522,1.04368,1.04479,1670,4,0
2024-12-30 14:00:00,1.04478,1.04582,1.0439,1.04492,1892,4,0
2024-12-30 15:00:00,1.04495,1.04518,1.03851,1.03877,2607,4,0
2024-12-30 16:00:00,1.03879,1.04087,1.03798,1.04051,3129,3,0
2024-12-30 17:00:00,1.04051,1.04056,1.03715,1.03798,3245,3,0
2024-12-30 18:00:00,1.03803,1.03911,1.03747,1.03856,2638,4,0
2024-12-30 19:00:00,1.03857,1.03953,1.03844,1.0394,1973,3,0
2024-12-30 20:00:00,1.03944,1.0407,1.03937,1.04043,1705,4,0
2024-12-30 21:00:00,1.04043,1.04052,1.0396,1.03964,1560,4,0
2024-12-30 22:00:00,1.03963,1.04051,1.03952,1.03987,1412,4,0
2024-12-30 23:00:00,1.03987,1.04063,1.03983,1.0403,586,0,0
2024-12-31 00:00:00,1.04039,1.04057,1.0394,1.04041,357,7,0
2024-12-31 01:00:00,1.04042,1.04058,1.0398,1.04055,599,4,0
2024-12-31 02:00:00,1.04055,1.04058,1.0397,1.04033,781,1,0
2024-12-31 03:00:00,1.04034,1.04132,1.0402,1.0412,1341,0,0
2024-12-31 04:00:00,1.0412,1.04148,1.04079,1.04125,1003,1,0
2024-12-31 05:00:00,1.04125,1.04131,1.04072,1.04086,718,4,0
2024-12-31 06:00:00,1.04086,1.04091,1.04036,1.04042,583,1,0
2024-12-31 07:00:00,1.04041,1.04076,1.04024,1.04038,608,4,0
2024-12-31 08:00:00,1.04037,1.04058,1.03995,1.04037,863,0,0
2024-12-31 09:00:00,1.04037,1.04129,1.04023,1.04117,1406,4,0
2024-12-31 10:00:00,1.04119,1.04199,1.04057,1.04181,1882,3,0
2024-12-31 11:00:00,1.04181,1.04243,1.04117,1.04185,1769,4,0
2024-12-31 12:00:00,1.04189,1.04199,1.04052,1.04129,1881,4,0
2024-12-31 13:00:00,1.04129,1.04192,1.04052,1.04102,1379,4,0
2024-12-31 14:00:00,1.04104,1.04142,1.03912,1.03925,1729,4,0
2024-12-31 15:00:00,1.03926,1.03972,1.03834,1.03929,2299,3,0
2024-12-31 16:00:00,1.03931,1.03941,1.03747,1.03759,2744,4,0
2024-12-31 17:00:00,1.03749,1.03891,1.03524,1.03546,3445,3,0
2024-12-31 18:00:00,1.03546,1.03611,1.03467,1.03502,2731,4,0
2024-12-31 19:00:00,1.03502,1.03548,1.03438,1.0349,2323,4,0
2024-12-31 20:00:00,1.03489,1.03566,1.03455,1.03529,1900,4,0
2024-12-31 21:00:00,1.03526,1.03645,1.03516,1.0354700000000001,1445,4,0
2024-12-31 22:00:00,1.0354700000000001,1.03631,1.03544,1.03582,1208,1,0
2024-12-31 23:00:00,1.03585,1.0360800000000001,1.03489,1.03493,616,4,0
2025-01-02 00:00:00,1.03515,1.03571,1.03491,1.03553,876,8,0
2025-01-02 01:00:00,1.03553,1.03565,1.03462,1.03507,929,4,0
2025-01-02 02:00:00,1.03507,1.03563,1.03473,1.03519,1110,0,0
2025-01-02 03:00:00,1.03519,1.03606,1.03444,1.03577,1641,4,0
2025-01-02 04:00:00,1.03577,1.03711,1.03576,1.03708,921,4,0
2025-01-02 05:00:00,1.03711,1.0374,1.03682,1.03715,779,0,0
2025-01-02 06:00:00,1.03716,1.03757,1.03664,1.03692,693,0,0
2025-01-02 07:00:00,1.03692,1.03706,1.03618,1.03639,673,0,0
2025-01-02 08:00:00,1.03638,1.03649,1.03599,1.03636,1125,4,0
2025-01-02 09:00:00,1.03633,1.03724,1.03623,1.03627,1700,4,0
2025-01-02 10:00:00,1.03628,1.03709,1.03461,1.03627,2594,4,0
2025-01-02 11:00:00,1.03628,1.03701,1.03493,1.03514,2084,4,0
2025-01-02 12:00:00,1.03516,1.03567,1.03136,1.03168,2495,4,0
2025-01-02 13:00:00,1.0316,1.03339,1.03149,1.03321,2055,4,0
2025-01-02 14:00:00,1.0332,1.03342,1.03143,1.03182,2063,4,0
